iso,country_name,Total,Drought,Flood,Epidemic,Extreme_temperature,Earthquake,Landslide,Storm
MLI,Mali,52,11,22,19,0,0,0,0
MHL,Marshall Islands (the),5,1,2,1,0,0,0,1
MTQ,Martinique,16,0,0,1,0,1,0,14
MRT,Mauritania,36,12,16,6,0,0,0,2
MUS,Mauritius,22,1,1,2,0,0,0,18
MEX,Mexico,231,7,62,3,17,32,12,98
FSM,Micronesia (Federated States of),9,1,1,1,0,0,0,6
MDA,Moldova (the Republic of),15,3,7,1,2,0,,2
MNG,Mongolia,22,1,6,3,2,1,0,9
MNE,Montenegro,5,0,4,0,1,0,0,0
MSR,Montserrat,4,0,0,0,0,0,0,4
MAR,Morocco,48,5,31,1,3,3,1,4
MOZ,Mozambique,98,13,34,27,0,1,1,22
MMR,Myanmar,64,0,27,3,0,8,7,19
NAM,Namibia,28,8,13,7,0,0,0,0
NPL,Nepal,116,6,44,20,7,8,24,7
NLD,Netherlands (the),34,0,4,1,5,1,0,23
ANT,Netherlands Antilles,4,0,0,0,0,0,0,4
NCL,New Caledonia,17,0,0,1,0,0,0,16
NZL,New Zealand,64,2,37,2,1,9,1,12
NIC,Nicaragua,69,5,21,12,0,10,1,20
NER,Niger (the),77,14,22,40,0,0,0,1
NGA,Nigeria,110,1,43,56,2,0,3,5
NIU,Niue,6,0,0,1,0,0,0,5
MNP,Northern Mariana Islands (the),3,0,0,0,0,0,0,3
NOR,Norway,11,0,3,0,0,0,1,7
OMN,Oman,10,0,1,0,0,0,0,9
PAK,Pakistan,193,1,88,10,17,31,21,25
PLW,Palau,1,0,0,0,0,0,0,1
PSE,"Palestine, State of",8,0,4,1,0,0,0,3
PAN,Panama,53,3,37,5,0,4,0,4
PNG,Papua New Guinea,57,3,15,7,0,14,11,7
PRY,Paraguay,48,8,21,8,3,0,0,8
PER,Peru,163,8,51,13,12,43,32,4
PHL,Philippines (the),561,9,143,18,0,28,30,333
POL,Poland,48,,14,0,18,1,0,15
PRT,Portugal,30,3,14,0,4,0,0,9
PRI,Puerto Rico,30,1,7,0,0,1,2,19
REU,R??union,12,0,0,1,0,0,1,10
ROU,Romania,95,2,47,3,19,13,1,10
RUS,Russian Federation (the),131,5,57,10,21,11,7,20
RWA,Rwanda,37,6,13,12,0,2,4,0
SHN,"Saint Helena, Ascension and Tristan da Cunha",1,0,0,0,0,0,0,1
KNA,Saint Kitts and Nevis,9,0,1,0,0,0,0,8
LCA,Saint Lucia,18,1,2,0,0,1,1,13
VCT,Saint Vincent and the Grenadines,16,1,6,0,0,0,0,9
WSM,Samoa,13,1,1,0,0,1,0,10
STP,Sao Tome and Principe,4,1,0,3,0,0,0,0
SAU,Saudi Arabia,22,0,18,3,0,0,0,1
SEN,Senegal,45,10,20,12,0,0,0,3
SRB,Serbia,21,0,12,0,8,1,0,0
SCG,Serbia Montenegro,15,0,9,2,2,1,0,1
SYC,Seychelles,6,0,2,1,0,1,0,2
SLE,Sierra Leone,28,0,8,16,0,0,1,3
SGP,Singapore,3,0,0,3,0,0,0,0
SVK,Slovakia,18,0,12,0,5,0,0,1
SVN,Slovenia,9,0,3,0,2,2,0,2
SLB,Solomon Islands,34,3,5,1,0,8,0,17
SOM,Somalia,88,15,41,27,0,1,0,4
ZAF,South Africa,88,9,33,7,3,9,1,26
SSD,South Sudan,15,2,9,4,0,0,0,0
SUN,Soviet Union,57,1,17,2,0,26,6,5
ESP,Spain,70,4,30,3,8,3,1,21
LKA,Sri Lanka,97,10,62,9,0,1,6,9
SDN,Sudan (the),83,9,32,37,1,2,0,2
SUR,Suriname,3,0,3,0,0,0,0,0
SWZ,Swaziland,14,5,3,3,0,0,0,3
SWE,Sweden,13,0,2,2,1,0,1,7
CHE,Switzerland,55,0,8,1,6,0,10,30
SYR,Syrian Arab Republic,12,2,3,2,0,0,1,4
TWN,Taiwan (Province of China),103,0,8,2,1,14,1,77
TJK,Tajikistan,62,2,28,5,3,10,12,2
TZA,"Tanzania, United Republic of",98,10,40,32,0,10,1,5
THA,Thailand,131,9,72,7,2,5,3,33
TLS,Timor-Leste,11,2,5,2,0,1,0,1
TGO,Togo,27,3,11,12,0,0,0,1
TKL,Tokelau,6,0,0,0,0,0,0,6
TON,Tonga,18,1,0,0,0,2,0,15
TTO,Trinidad and Tobago,12,1,2,0,0,1,1,7
TUN,Tunisia,18,2,15,0,0,1,0,0
TUR,Turkey,154,0,41,8,7,77,12,9
TKM,Turkmenistan,2,0,1,0,0,1,0,0
TCA,Turks and Caicos Islands (the),6,0,0,0,0,0,0,6
TUV,Tuvalu,7,1,0,0,0,0,0,6
UGA,Uganda,80,9,18,39,0,5,5,4
UKR,Ukraine,31,1,14,3,6,0,0,7
GBR,United Kingdom of Great Britain and Northern Irela,88,0,33,4,8,2,1,40
USA,United States of America (the),873,14,175,5,36,41,5,597
URY,Uruguay,27,1,16,0,4,0,0,6
UZB,Uzbekistan,6,1,1,1,0,2,1,0
VUT,Vanuatu,39,0,2,0,0,9,1,27
VEN,Venezuela (Bolivarian Republic of),54,1,30,7,0,8,4,4
VNM,Viet Nam,196,6,76,10,0,0,6,98
VGB,Virgin Island (British),2,0,0,0,0,0,0,2
VIR,Virgin Island (U.S.),6,0,0,0,0,0,0,6
WLF,Wallis and Futuna,5,0,0,0,0,1,0,4
YEM,Yemen,36,2,25,3,0,1,3,4
YMN,Yemen Arab Rep,6,0,3,0,0,1,0,0
YMD,Yemen P Dem Rep,7,2,5,0,0,0,0,0
YUG,Yugoslavia,20,1,6,1,1,11,0,0
ZMB,Zambia,42,5,18,18,0,0,1,0
ZWE,Zimbabwe,45,8,11,22,0,0,0,4
